published_year,crossref_type,code,name,total,avg_score,count_oa,count_gold,count_green,count_bronze,count_hybrid,count_doaj,count_diamond,count_green_only,count_green_only_ignoring_bronze,count_cc_licensed,mean_citations,mean_citations2y
2021,other,af,Afrikaans,2,0.2541555166244507,0,0,0,0,0,0,0,0,0,0,,
2021,journal-article,af,Afrikaans,94,0.6338268282248619,56,50,3,5,33,17,0,1,2,50,1.0,1.0
2021,book-chapter,af,Afrikaans,29,0.3928679392255586,0,0,0,0,0,0,0,0,0,0,,
2021,posted-content,af,Afrikaans,1,0.18408805131912231,0,0,0,0,0,0,0,0,0,0,,
2021,dataset,af,Afrikaans,3,0.37412036458651227,3,3,0,0,3,0,0,0,0,3,,
2021,monograph,af,Afrikaans,4,0.5695188567042351,0,0,0,0,0,0,0,0,0,0,,
2021,book,sq,Albanian,2,0.9211708605289459,0,0,0,0,0,0,0,0,0,0,,
2021,monograph,sq,Albanian,4,0.6308780759572983,4,0,2,2,0,0,0,2,2,0,,
2021,journal-article,sq,Albanian,104,0.8722314802356638,90,2,0,88,2,0,0,0,0,2,1.0,1.0
2021,book-chapter,sq,Albanian,54,0.36879161910878294,6,0,1,6,0,0,0,0,1,0,,
2021,component,sq,Albanian,2,0.4552329331636429,1,0,0,1,0,0,0,0,0,0,,
2021,report,sq,Albanian,3,0.6503621935844421,3,0,0,3,0,0,0,0,0,0,,
2021,journal-article,am,Amharic,2,0.3734723925590515,1,1,0,0,0,1,1,0,0,1,,
2021,book-chapter,ar,Arabic,539,0.8895740579253888,29,9,0,20,9,0,0,0,0,9,,
2021,reference-entry,ar,Arabic,1,0.1732519567012787,1,1,0,0,1,0,0,0,0,1,,
2021,book,ar,Arabic,104,0.9467445083249074,2,0,0,2,0,0,0,0,0,0,,
2021,monograph,ar,Arabic,20,0.8994211480021477,6,2,2,3,2,0,0,1,1,3,1.0,1.0
2021,journal-article,ar,Arabic,29221,0.933166568022651,21550,4529,71,17008,2035,2494,357,13,18,4535,1.2285714285714289,1.2285714285714289
2021,proceedings,ar,Arabic,2,0.994041383266449,1,0,0,1,0,0,0,0,0,0,,
2021,book-part,ar,Arabic,1,0.3361794948577881,0,0,0,0,0,0,0,0,0,0,,
2021,posted-content,ar,Arabic,36,0.8389154010348849,33,0,33,0,0,0,0,33,33,0,,
2021,report,ar,Arabic,7,0.996860112462725,6,0,0,6,0,0,0,0,0,0,,
2021,other,ar,Arabic,2,0.34333041310310364,0,0,0,0,0,0,0,0,0,0,,
2021,journal-issue,ar,Arabic,3,0.9383038679758707,0,0,0,0,0,0,0,0,0,0,,
2021,proceedings-article,ar,Arabic,114,0.9937721004611568,84,1,1,83,1,0,0,0,0,1,1.0,1.0
2021,dataset,ar,Arabic,27,0.1979173270088655,27,27,0,0,27,0,0,0,0,27,,
2021,book,an,Aragonese,1,0.2673152983188629,1,0,0,1,0,0,0,0,0,0,,
2021,journal-article,hy,Armenian,198,0.9801388669646149,138,18,0,120,18,0,0,0,0,18,1.75,1.75
2021,monograph,hy,Armenian,6,0.8861151039600372,1,0,1,0,0,0,0,1,1,0,,
2021,book-chapter,hy,Armenian,31,0.455877604984468,12,0,0,12,0,0,0,0,0,0,,
2021,book,hy,Armenian,1,1.0000799894332886,0,0,0,0,0,0,0,0,0,0,,
2021,dataset,hy,Armenian,3,0.19224126636981964,3,3,0,0,3,0,0,0,0,3,,
2021,other,hy,Armenian,2,0.11531554907560349,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,as,Assamese,1,0.08029434084892273,0,0,0,0,0,0,0,0,0,0,,
2021,journal-article,as,Assamese,1,0.09864688664674759,1,0,0,1,0,0,0,0,0,0,,
2021,book,ast,Asturian,2,0.46008218824863434,0,0,0,0,0,0,0,0,0,0,,
